poll,item,raw,lca,standard,lca_converged,gof_p_value
UK Crime,item4,0.09364548494983277,0.12912149440030862,0.13043478260869565,TRUE,0.507629069544236
UK Crime,item5,-0.023411371237458192,6.972636741383983e-8,-0.046822742474916385,TRUE,0.056637539963191964
UK Crime,item6,-0.026755852842809364,0.00964361213523033,-0.07692307692307693,TRUE,0.020173200565059838
UK Crime,item7,-0.0033444816053511705,0.0018926838197604109,-0.03678929765886288,TRUE,0.0706331955266826
UK EU,item1,0.4017857142857143,0.5282733921441098,0.47767857142857145,TRUE,0.1868577396749732
UK EU,item2,0.2544642857142857,0.3107141557167207,0.3080357142857143,TRUE,0.26230462184859266
UK EU,item3,0.05803571428571429,5.2920458589817e-7,0.013392857142857142,TRUE,0.04837575315535599
UK EU,item4,0.05357142857142857,0.19642861821473245,0.09375,TRUE,0.0017812939145253677
UK EU,item5,0.24553571428571427,0.3419645903573026,0.32589285714285715,TRUE,0.6918007508220481
UK Health,item1,0.06956521739130435,0.10760858611654514,0.07391304347826087,TRUE,0.35061933170980963
UK Health,item2,0.017391304347826087,0.06521014618946527,0.034782608695652174,TRUE,0.8759950706899061
UK Health,item3,0.0391304347826087,0.0460872126410158,0.043478260869565216,TRUE,0.039149540058151036
UK Health,item4,0.030434782608695653,0.08757761025031147,0.06521739130434782,TRUE,0.0566101737682064
UK Health,item5,0.1826086956521739,0.20482542826322403,0.3565217391304348,TRUE,0.5923940191707101
UK Health,item6,0.13478260869565217,0.2208679347704504,0.23043478260869565,TRUE,0.844675948451537
UK Monarchy,item1,-0.031007751937984496,0.007751927449927266,-0.046511627906976744,TRUE,0.0951082007127265
UK Monarchy,item2,0.10077519379844961,0.1432070944267153,0.13178294573643412,TRUE,0.17440851681097283
UK Monarchy,item3,0,8.244409636679087e-11,0,TRUE,0.9995107662060976
UK Monarchy,item4,0.011627906976744186,0.004552461159453893,-0.015503875968992248,TRUE,0.09600848694452625
UK Monarchy,item5,0.08139534883720931,0.12432915122123825,0.12790697674418605,TRUE,0.2715456265145621
UK Monarchy,item6,0.10852713178294573,0.3062006532074589,0.1744186046511628,TRUE,0.6055773868381161
UK Monarchy,item7,0.43410852713178294,0.5147286352858047,0.6356589147286822,TRUE,0.1644300873675118
UK Monarchy,item8,0.5116279069767442,0.5930250928447707,0.6627906976744186,TRUE,0.35719691142427995
Vermont,item1,0.3561643835616438,0.35617013216998394,0.3082191780821918,TRUE,0.9997042522319974
Vermont,item2,0.3493150684931507,0.22211395507644796,0.3270547945205479,TRUE,0.022533870299289778
Vermont,item3,0.17123287671232876,0.1277195531335928,0.1095890410958904,TRUE,0.38028345183376855
Vermont,item4,0.5136986301369864,0.5445210460182159,0.5753424657534246,TRUE,0.6592420968039904
Vermont,item5,0.4520547945205479,0.513698429256805,0.4863013698630137,TRUE,0.8545343606584821
Vermont,item6,0.3972602739726027,0.3047945085051763,0.273972602739726,TRUE,0.9993717219818975
Vermont,item7,0.4931506849315068,0.6301370792768288,0.5787671232876712,TRUE,0.18434559519638785
Vermont,item8,0.2876712328767123,0.3809524886712879,0.3378995433789954,TRUE,0.24802737182939993
Vermont,item9,0.5547945205479452,0.8748054434146715,0.6004566210045661,TRUE,0.9985320009540631
WTU,item1,0.4391304347826087,0.5440994522153699,0.48445639125215295,TRUE,0.11793589104513408
WTU,item2,0.05652173913043478,0.06608712232364883,0.08256958477283095,TRUE,0.9909627323555578
WTU,item3,0.2608695652173913,0.39420284373446135,0.36071964017991015,TRUE,0.12282259268845187
WTU,item4,0.1391304347826087,0.1708885644111578,0.16951958803207087,TRUE,0.023723452851598992
WTU,item5,0.5434782608695652,0.5608698026911223,0.546356542008716,TRUE,0.24821190580594418
